"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"1999"	"1999"	35	4430141	0.8	0.8
	"Alabama"	"01"	"2000"	"2000"	43	4447100	1.0	1.0
	"Alabama"	"01"	"2001"	"2001"	56	4467634	1.3	1.3
	"Alabama"	"01"	"2002"	"2002"	70	4480089	1.6	1.6
	"Alabama"	"01"	"2003"	"2003"	48	4503491	1.1	1.1
	"Alabama"	"01"	"2004"	"2004"	83	4530729	1.8	1.8
	"Alabama"	"01"	"2005"	"2005"	79	4569805	1.7	1.7
	"Alabama"	"01"	"2006"	"2006"	122	4628981	2.6	2.7
	"Alabama"	"01"	"2007"	"2007"	162	4672840	3.5	3.5
	"Alabama"	"01"	"2008"	"2008"	180	4718206	3.8	4.0
	"Alabama"	"01"	"2009"	"2009"	196	4757938	4.1	4.3
	"Alabama"	"01"	"2010"	"2010"	181	4779736	3.8	3.9
	"Alabama"	"01"	"2011"	"2011"	165	4802740	3.4	3.5
	"Alabama"	"01"	"2012"	"2012"	133	4822023	2.8	2.9
	"Alabama"	"01"	"2013"	"2013"	134	4833722	2.8	2.8
	"Alabama"	"01"	"2014"	"2014"	176	4849377	3.6	3.5
	"Alabama"	"01"	"2015"	"2015"	192	4858979	4.0	4.1
	"Alabama"	"01"	"2016"	"2016"	266	4863300	5.5	5.7
	"Alabama"	"01"	"2017"	"2017"	348	4874747	7.1	7.4
	"Alabama"	"01"	"2018"	"2018"	285	4887871	5.8	6.2
	"Alaska"	"02"	"1999"	"1999"	23	624779	3.7	3.4
	"Alaska"	"02"	"2000"	"2000"	26	626932	4.1	3.9
	"Alaska"	"02"	"2001"	"2001"	13	633714	Unreliable	Unreliable
	"Alaska"	"02"	"2002"	"2002"	Suppressed	642337	Suppressed	Suppressed
	"Alaska"	"02"	"2003"	"2003"	11	648414	Unreliable	Unreliable
	"Alaska"	"02"	"2004"	"2004"	10	659286	Unreliable	Unreliable
	"Alaska"	"02"	"2005"	"2005"	17	666946	Unreliable	Unreliable
	"Alaska"	"02"	"2006"	"2006"	29	675302	4.3	4.1
	"Alaska"	"02"	"2007"	"2007"	15	680300	Unreliable	Unreliable
	"Alaska"	"02"	"2008"	"2008"	82	687455	11.9	11.7
	"Alaska"	"02"	"2009"	"2009"	85	698895	12.2	11.8
	"Alaska"	"02"	"2010"	"2010"	59	710231	8.3	8.4
	"Alaska"	"02"	"2011"	"2011"	54	722718	7.5	7.2
	"Alaska"	"02"	"2012"	"2012"	61	731449	8.3	8.3
	"Alaska"	"02"	"2013"	"2013"	58	735132	7.9	7.7
	"Alaska"	"02"	"2014"	"2014"	64	736732	8.7	8.9
	"Alaska"	"02"	"2015"	"2015"	72	738432	9.8	9.4
	"Alaska"	"02"	"2016"	"2016"	73	741894	9.8	9.7
	"Alaska"	"02"	"2017"	"2017"	92	739795	12.4	12.4
	"Alaska"	"02"	"2018"	"2018"	60	737438	8.1	7.8
	"Arizona"	"04"	"1999"	"1999"	207	5023823	4.1	4.3
	"Arizona"	"04"	"2000"	"2000"	224	5130632	4.4	4.6
	"Arizona"	"04"	"2001"	"2001"	244	5273477	4.6	4.8
	"Arizona"	"04"	"2002"	"2002"	297	5396255	5.5	5.7
	"Arizona"	"04"	"2003"	"2003"	279	5510364	5.1	5.3
	"Arizona"	"04"	"2004"	"2004"	307	5652404	5.4	5.6
	"Arizona"	"04"	"2005"	"2005"	346	5839077	5.9	6.1
	"Arizona"	"04"	"2006"	"2006"	409	6029141	6.8	7.0
	"Arizona"	"04"	"2007"	"2007"	418	6167681	6.8	7.0
	"Arizona"	"04"	"2008"	"2008"	439	6280362	7.0	7.2
	"Arizona"	"04"	"2009"	"2009"	533	6343154	8.4	8.6
	"Arizona"	"04"	"2010"	"2010"	548	6392017	8.6	8.7
	"Arizona"	"04"	"2011"	"2011"	458	6482505	7.1	7.1
	"Arizona"	"04"	"2012"	"2012"	436	6553255	6.7	6.8
	"Arizona"	"04"	"2013"	"2013"	386	6626624	5.8	6.0
	"Arizona"	"04"	"2014"	"2014"	410	6731484	6.1	6.0
	"Arizona"	"04"	"2015"	"2015"	451	6828065	6.6	6.8
	"Arizona"	"04"	"2016"	"2016"	511	6931071	7.4	7.5
	"Arizona"	"04"	"2017"	"2017"	668	7016270	9.5	9.6
	"Arizona"	"04"	"2018"	"2018"	818	7171646	11.4	11.7
	"Arkansas"	"05"	"1999"	"1999"	26	2651860	1.0	1.0
	"Arkansas"	"05"	"2000"	"2000"	17	2673400	Unreliable	Unreliable
	"Arkansas"	"05"	"2001"	"2001"	30	2691571	1.1	1.1
	"Arkansas"	"05"	"2002"	"2002"	88	2705927	3.3	3.5
	"Arkansas"	"05"	"2003"	"2003"	89	2724816	3.3	3.4
	"Arkansas"	"05"	"2004"	"2004"	127	2749686	4.6	4.8
	"Arkansas"	"05"	"2005"	"2005"	122	2781097	4.4	4.6
	"Arkansas"	"05"	"2006"	"2006"	140	2821761	5.0	5.1
	"Arkansas"	"05"	"2007"	"2007"	147	2848650	5.2	5.3
	"Arkansas"	"05"	"2008"	"2008"	195	2874554	6.8	7.2
	"Arkansas"	"05"	"2009"	"2009"	201	2896843	6.9	7.2
	"Arkansas"	"05"	"2010"	"2010"	185	2915918	6.3	6.6
	"Arkansas"	"05"	"2011"	"2011"	165	2937979	5.6	6.0
	"Arkansas"	"05"	"2012"	"2012"	164	2949131	5.6	5.8
	"Arkansas"	"05"	"2013"	"2013"	161	2959373	5.4	5.6
	"Arkansas"	"05"	"2014"	"2014"	167	2966369	5.6	6.0
	"Arkansas"	"05"	"2015"	"2015"	197	2978204	6.6	7.0
	"Arkansas"	"05"	"2016"	"2016"	161	2988248	5.4	5.6
	"Arkansas"	"05"	"2017"	"2017"	181	3004279	6.0	6.2
	"Arkansas"	"05"	"2018"	"2018"	195	3013825	6.5	6.9
	"California"	"06"	"1999"	"1999"	1327	33499204	4.0	4.0
	"California"	"06"	"2000"	"2000"	902	33871648	2.7	2.7
	"California"	"06"	"2001"	"2001"	478	34479458	1.4	1.4
	"California"	"06"	"2002"	"2002"	1304	34871843	3.7	3.8
	"California"	"06"	"2003"	"2003"	1207	35253159	3.4	3.5
	"California"	"06"	"2004"	"2004"	1244	35574576	3.5	3.5
	"California"	"06"	"2005"	"2005"	1251	35827943	3.5	3.5
	"California"	"06"	"2006"	"2006"	1364	36021202	3.8	3.7
	"California"	"06"	"2007"	"2007"	1485	36250311	4.1	4.0
	"California"	"06"	"2008"	"2008"	1623	36604337	4.4	4.3
	"California"	"06"	"2009"	"2009"	1779	36961229	4.8	4.7
	"California"	"06"	"2010"	"2010"	1727	37253956	4.6	4.5
	"California"	"06"	"2011"	"2011"	1719	37691912	4.6	4.4
	"California"	"06"	"2012"	"2012"	1469	38041430	3.9	3.7
	"California"	"06"	"2013"	"2013"	1604	38332521	4.2	4.0
	"California"	"06"	"2014"	"2014"	1604	38802500	4.1	3.9
	"California"	"06"	"2015"	"2015"	1563	39144818	4.0	3.8
	"California"	"06"	"2016"	"2016"	1569	39250017	4.0	3.7
	"California"	"06"	"2017"	"2017"	1694	39536653	4.3	4.0
	"California"	"06"	"2018"	"2018"	1869	39557045	4.7	4.5
	"Colorado"	"08"	"1999"	"1999"	132	4226018	3.1	3.0
	"Colorado"	"08"	"2000"	"2000"	153	4301261	3.6	3.4
	"Colorado"	"08"	"2001"	"2001"	181	4425687	4.1	4.0
	"Colorado"	"08"	"2002"	"2002"	177	4490406	3.9	3.8
	"Colorado"	"08"	"2003"	"2003"	197	4528732	4.4	4.2
	"Colorado"	"08"	"2004"	"2004"	210	4575013	4.6	4.5
	"Colorado"	"08"	"2005"	"2005"	258	4631888	5.6	5.4
	"Colorado"	"08"	"2006"	"2006"	289	4720423	6.1	5.9
	"Colorado"	"08"	"2007"	"2007"	317	4803868	6.6	6.3
	"Colorado"	"08"	"2008"	"2008"	313	4889730	6.4	6.2
	"Colorado"	"08"	"2009"	"2009"	334	4972195	6.7	6.4
	"Colorado"	"08"	"2010"	"2010"	263	5029196	5.2	5.1
	"Colorado"	"08"	"2011"	"2011"	345	5116796	6.7	6.6
	"Colorado"	"08"	"2012"	"2012"	325	5187582	6.3	6.1
	"Colorado"	"08"	"2013"	"2013"	329	5268367	6.2	6.0
	"Colorado"	"08"	"2014"	"2014"	388	5355866	7.2	7.0
	"Colorado"	"08"	"2015"	"2015"	355	5456574	6.5	6.2
	"Colorado"	"08"	"2016"	"2016"	330	5540545	6.0	5.8
	"Colorado"	"08"	"2017"	"2017"	396	5607154	7.1	6.8
	"Colorado"	"08"	"2018"	"2018"	371	5695564	6.5	6.2
	"Connecticut"	"09"	"1999"	"1999"	58	3386401	1.7	1.7
	"Connecticut"	"09"	"2000"	"2000"	59	3405565	1.7	1.7
	"Connecticut"	"09"	"2001"	"2001"	58	3432835	1.7	1.7
	"Connecticut"	"09"	"2002"	"2002"	87	3458749	2.5	2.5
